model,yolo,crop,frcnn,post,total
yolo,0.023328013359996475,0.0,0.0,0.0,0.023328013359996475
frcnn,0.0,0.0,0.1482018535500083,0.0,0.1482018535500083
hybrid,0.014019904649999262,0.0,0.1444183358700093,0.00022551637999185915,0.1586637569000004
